# SYNTHETIC NAVIGATION - NOT REAL SURVEY POSITIONS.
# The source imagery ships without navigation data. This track
# exists only to exercise the geolocation maths on a known
# geometry. Do not treat the resulting coordinates as real.
ping,lat,lon,heading,altitude
46,12.92005747,80.34002382,22.0,11.0
47,12.92005872,80.34002434,22.0,11.0
48,12.92005997,80.34002486,22.0,11.0
49,12.92006122,80.34002538,22.0,11.0
50,12.92006247,80.34002589,22.0,11.0
51,12.92006372,80.34002641,22.0,11.0
52,12.92006497,80.34002693,22.0,11.0
53,12.92006622,80.34002745,22.0,11.0
54,12.92006746,80.34002797,22.0,11.0
55,12.92006871,80.34002848,22.0,11.0
56,12.92006996,80.340029,22.0,11.0
57,12.92007121,80.34002952,22.0,11.0
58,12.92007246,80.34003004,22.0,11.0
59,12.92007371,80.34003055,22.0,11.0
60,12.92007496,80.34003107,22.0,11.0
61,12.92007621,80.34003159,22.0,11.0
62,12.92007746,80.34003211,22.0,11.0
63,12.92007871,80.34003263,22.0,11.0
64,12.92007996,80.34003314,22.0,11.0
65,12.92008121,80.34003366,22.0,11.0
66,12.92008246,80.34003418,22.0,11.0
67,12.92008371,80.3400347,22.0,11.0
68,12.92008496,80.34003522,22.0,11.0
69,12.92008621,80.34003573,22.0,11.0
70,12.92008745,80.34003625,22.0,11.0
71,12.9200887,80.34003677,22.0,11.0
72,12.92008995,80.34003729,22.0,11.0
73,12.9200912,80.34003781,22.0,11.0
74,12.92009245,80.34003832,22.0,11.0
75,12.9200937,80.34003884,22.0,11.0
76,12.92009495,80.34003936,22.0,11.0
77,12.9200962,80.34003988,22.0,11.0
78,12.92009745,80.34004039,22.0,11.0
79,12.9200987,80.34004091,22.0,11.0
80,12.92009995,80.34004143,22.0,11.0
81,12.9201012,80.34004195,22.0,11.0
82,12.92010245,80.34004247,22.0,11.0
83,12.9201037,80.34004298,22.0,11.0
84,12.92010495,80.3400435,22.0,11.0
85,12.92010619,80.34004402,22.0,11.0
86,12.92010744,80.34004454,22.0,11.0
87,12.92010869,80.34004506,22.0,11.0
88,12.92010994,80.34004557,22.0,11.0
89,12.92011119,80.34004609,22.0,11.0
90,12.92011244,80.34004661,22.0,11.0
91,12.92011369,80.34004713,22.0,11.0
92,12.92011494,80.34004765,22.0,11.0
93,12.92011619,80.34004816,22.0,11.0
94,12.92011744,80.34004868,22.0,11.0
95,12.92011869,80.3400492,22.0,11.0
96,12.92011994,80.34004972,22.0,11.0
97,12.92012119,80.34005023,22.0,11.0
98,12.92012244,80.34005075,22.0,11.0
99,12.92012369,80.34005127,22.0,11.0
100,12.92012493,80.34005179,22.0,11.0
101,12.92012618,80.34005231,22.0,11.0
102,12.92012743,80.34005282,22.0,11.0
103,12.92012868,80.34005334,22.0,11.0
104,12.92012993,80.34005386,22.0,11.0
105,12.92013118,80.34005438,22.0,11.0
106,12.92013243,80.3400549,22.0,11.0
107,12.92013368,80.34005541,22.0,11.0
108,12.92013493,80.34005593,22.0,11.0
109,12.92013618,80.34005645,22.0,11.0
110,12.92013743,80.34005697,22.0,11.0
111,12.92013868,80.34005748,22.0,11.0
112,12.92013993,80.340058,22.0,11.0
113,12.92014118,80.34005852,22.0,11.0
114,12.92014243,80.34005904,22.0,11.0
115,12.92014368,80.34005956,22.0,11.0
116,12.92014492,80.34006007,22.0,11.0
117,12.92014617,80.34006059,22.0,11.0
118,12.92014742,80.34006111,22.0,11.0
119,12.92014867,80.34006163,22.0,11.0
120,12.92014992,80.34006215,22.0,11.0
121,12.92015117,80.34006266,22.0,11.0
122,12.92015242,80.34006318,22.0,11.0
123,12.92015367,80.3400637,22.0,11.0
124,12.92015492,80.34006422,22.0,11.0
125,12.92015617,80.34006474,22.0,11.0
126,12.92015742,80.34006525,22.0,11.0
127,12.92015867,80.34006577,22.0,11.0
128,12.92015992,80.34006629,22.0,11.0
129,12.92016117,80.34006681,22.0,11.0
130,12.92016242,80.34006732,22.0,11.0
131,12.92016366,80.34006784,22.0,11.0
132,12.92016491,80.34006836,22.0,11.0
133,12.92016616,80.34006888,22.0,11.0
134,12.92016741,80.3400694,22.0,11.0
135,12.92016866,80.34006991,22.0,11.0
136,12.92016991,80.34007043,22.0,11.0
137,12.92017116,80.34007095,22.0,11.0
138,12.92017241,80.34007147,22.0,11.0
139,12.92017366,80.34007199,22.0,11.0
140,12.92017491,80.3400725,22.0,11.0
141,12.92017616,80.34007302,22.0,11.0
142,12.92017741,80.34007354,22.0,11.0
143,12.92017866,80.34007406,22.0,11.0
144,12.92017991,80.34007457,22.0,11.0
145,12.92018116,80.34007509,22.0,11.0
146,12.92018241,80.34007561,22.0,11.0
147,12.92018365,80.34007613,22.0,11.0
148,12.9201849,80.34007665,22.0,11.0
149,12.92018615,80.34007716,22.0,11.0
150,12.9201874,80.34007768,22.0,11.0
151,12.92018865,80.3400782,22.0,11.0
152,12.9201899,80.34007872,22.0,11.0
153,12.92019115,80.34007924,22.0,11.0
154,12.9201924,80.34007975,22.0,11.0
155,12.92019365,80.34008027,22.0,11.0
156,12.9201949,80.34008079,22.0,11.0
157,12.92019615,80.34008131,22.0,11.0
158,12.9201974,80.34008183,22.0,11.0
159,12.92019865,80.34008234,22.0,11.0
160,12.9201999,80.34008286,22.0,11.0
161,12.92020115,80.34008338,22.0,11.0
162,12.92020239,80.3400839,22.0,11.0
163,12.92020364,80.34008441,22.0,11.0
164,12.92020489,80.34008493,22.0,11.0
165,12.92020614,80.34008545,22.0,11.0
166,12.92020739,80.34008597,22.0,11.0
167,12.92020864,80.34008649,22.0,11.0
168,12.92020989,80.340087,22.0,11.0
169,12.92021114,80.34008752,22.0,11.0
170,12.92021239,80.34008804,22.0,11.0
171,12.92021364,80.34008856,22.0,11.0
172,12.92021489,80.34008908,22.0,11.0
173,12.92021614,80.34008959,22.0,11.0
174,12.92021739,80.34009011,22.0,11.0
175,12.92021864,80.34009063,22.0,11.0
176,12.92021989,80.34009115,22.0,11.0
177,12.92022113,80.34009166,22.0,11.0
178,12.92022238,80.34009218,22.0,11.0
179,12.92022363,80.3400927,22.0,11.0
180,12.92022488,80.34009322,22.0,11.0
181,12.92022613,80.34009374,22.0,11.0
182,12.92022738,80.34009425,22.0,11.0
183,12.92022863,80.34009477,22.0,11.0
184,12.92022988,80.34009529,22.0,11.0
185,12.92023113,80.34009581,22.0,11.0
186,12.92023238,80.34009633,22.0,11.0
187,12.92023363,80.34009684,22.0,11.0
188,12.92023488,80.34009736,22.0,11.0
189,12.92023613,80.34009788,22.0,11.0
190,12.92023738,80.3400984,22.0,11.0
191,12.92023863,80.34009892,22.0,11.0
192,12.92023988,80.34009943,22.0,11.0
193,12.92024112,80.34009995,22.0,11.0
194,12.92024237,80.34010047,22.0,11.0
195,12.92024362,80.34010099,22.0,11.0
196,12.92024487,80.3401015,22.0,11.0
197,12.92024612,80.34010202,22.0,11.0
198,12.92024737,80.34010254,22.0,11.0
199,12.92024862,80.34010306,22.0,11.0
200,12.92024987,80.34010358,22.0,11.0
201,12.92025112,80.34010409,22.0,11.0
202,12.92025237,80.34010461,22.0,11.0
203,12.92025362,80.34010513,22.0,11.0
204,12.92025487,80.34010565,22.0,11.0
205,12.92025612,80.34010617,22.0,11.0
206,12.92025737,80.34010668,22.0,11.0
207,12.92025862,80.3401072,22.0,11.0
208,12.92025986,80.34010772,22.0,11.0
209,12.92026111,80.34010824,22.0,11.0
210,12.92026236,80.34010876,22.0,11.0
211,12.92026361,80.34010927,22.0,11.0
212,12.92026486,80.34010979,22.0,11.0
213,12.92026611,80.34011031,22.0,11.0
214,12.92026736,80.34011083,22.0,11.0
215,12.92026861,80.34011134,22.0,11.0
216,12.92026986,80.34011186,22.0,11.0
217,12.92027111,80.34011238,22.0,11.0
218,12.92027236,80.3401129,22.0,11.0
219,12.92027361,80.34011342,22.0,11.0
220,12.92027486,80.34011393,22.0,11.0
221,12.92027611,80.34011445,22.0,11.0
222,12.92027736,80.34011497,22.0,11.0
223,12.9202786,80.34011549,22.0,11.0
224,12.92027985,80.34011601,22.0,11.0
225,12.9202811,80.34011652,22.0,11.0
226,12.92028235,80.34011704,22.0,11.0
227,12.9202836,80.34011756,22.0,11.0
228,12.92028485,80.34011808,22.0,11.0
229,12.9202861,80.34011859,22.0,11.0
230,12.92028735,80.34011911,22.0,11.0
231,12.9202886,80.34011963,22.0,11.0
232,12.92028985,80.34012015,22.0,11.0
233,12.9202911,80.34012067,22.0,11.0
234,12.92029235,80.34012118,22.0,11.0
235,12.9202936,80.3401217,22.0,11.0
236,12.92029485,80.34012222,22.0,11.0
237,12.9202961,80.34012274,22.0,11.0
238,12.92029735,80.34012326,22.0,11.0
239,12.92029859,80.34012377,22.0,11.0
240,12.92029984,80.34012429,22.0,11.0
241,12.92030109,80.34012481,22.0,11.0
242,12.92030234,80.34012533,22.0,11.0
243,12.92030359,80.34012585,22.0,11.0
244,12.92030484,80.34012636,22.0,11.0
245,12.92030609,80.34012688,22.0,11.0
246,12.92030734,80.3401274,22.0,11.0
247,12.92030859,80.34012792,22.0,11.0
248,12.92030984,80.34012843,22.0,11.0
249,12.92031109,80.34012895,22.0,11.0
250,12.92031234,80.34012947,22.0,11.0
251,12.92031359,80.34012999,22.0,11.0
252,12.92031484,80.34013051,22.0,11.0
253,12.92031609,80.34013102,22.0,11.0
254,12.92031733,80.34013154,22.0,11.0
255,12.92031858,80.34013206,22.0,11.0
256,12.92031983,80.34013258,22.0,11.0
257,12.92032108,80.3401331,22.0,11.0
258,12.92032233,80.34013361,22.0,11.0
259,12.92032358,80.34013413,22.0,11.0
260,12.92032483,80.34013465,22.0,11.0
261,12.92032608,80.34013517,22.0,11.0
262,12.92032733,80.34013568,22.0,11.0
263,12.92032858,80.3401362,22.0,11.0
264,12.92032983,80.34013672,22.0,11.0
265,12.92033108,80.34013724,22.0,11.0
266,12.92033233,80.34013776,22.0,11.0
267,12.92033358,80.34013827,22.0,11.0
268,12.92033483,80.34013879,22.0,11.0
269,12.92033607,80.34013931,22.0,11.0
270,12.92033732,80.34013983,22.0,11.0
271,12.92033857,80.34014035,22.0,11.0
272,12.92033982,80.34014086,22.0,11.0
273,12.92034107,80.34014138,22.0,11.0
274,12.92034232,80.3401419,22.0,11.0
275,12.92034357,80.34014242,22.0,11.0
276,12.92034482,80.34014294,22.0,11.0
277,12.92034607,80.34014345,22.0,11.0
278,12.92034732,80.34014397,22.0,11.0
279,12.92034857,80.34014449,22.0,11.0
280,12.92034982,80.34014501,22.0,11.0
281,12.92035107,80.34014552,22.0,11.0
282,12.92035232,80.34014604,22.0,11.0
283,12.92035357,80.34014656,22.0,11.0
284,12.92035482,80.34014708,22.0,11.0
285,12.92035606,80.3401476,22.0,11.0
286,12.92035731,80.34014811,22.0,11.0
287,12.92035856,80.34014863,22.0,11.0
288,12.92035981,80.34014915,22.0,11.0
289,12.92036106,80.34014967,22.0,11.0
290,12.92036231,80.34015019,22.0,11.0
291,12.92036356,80.3401507,22.0,11.0
292,12.92036481,80.34015122,22.0,11.0
293,12.92036606,80.34015174,22.0,11.0
294,12.92036731,80.34015226,22.0,11.0
295,12.92036856,80.34015277,22.0,11.0
296,12.92036981,80.34015329,22.0,11.0
297,12.92037106,80.34015381,22.0,11.0
298,12.92037231,80.34015433,22.0,11.0
299,12.92037356,80.34015485,22.0,11.0
300,12.9203748,80.34015536,22.0,11.0
301,12.92037605,80.34015588,22.0,11.0
302,12.9203773,80.3401564,22.0,11.0
303,12.92037855,80.34015692,22.0,11.0
304,12.9203798,80.34015744,22.0,11.0
305,12.92038105,80.34015795,22.0,11.0
306,12.9203823,80.34015847,22.0,11.0
307,12.92038355,80.34015899,22.0,11.0
308,12.9203848,80.34015951,22.0,11.0
309,12.92038605,80.34016003,22.0,11.0
310,12.9203873,80.34016054,22.0,11.0
311,12.92038855,80.34016106,22.0,11.0
312,12.9203898,80.34016158,22.0,11.0
313,12.92039105,80.3401621,22.0,11.0
314,12.9203923,80.34016261,22.0,11.0
315,12.92039355,80.34016313,22.0,11.0
316,12.92039479,80.34016365,22.0,11.0
317,12.92039604,80.34016417,22.0,11.0
318,12.92039729,80.34016469,22.0,11.0
319,12.92039854,80.3401652,22.0,11.0
320,12.92039979,80.34016572,22.0,11.0
321,12.92040104,80.34016624,22.0,11.0
322,12.92040229,80.34016676,22.0,11.0
323,12.92040354,80.34016728,22.0,11.0
324,12.92040479,80.34016779,22.0,11.0
325,12.92040604,80.34016831,22.0,11.0
326,12.92040729,80.34016883,22.0,11.0
327,12.92040854,80.34016935,22.0,11.0
328,12.92040979,80.34016986,22.0,11.0
329,12.92041104,80.34017038,22.0,11.0
330,12.92041229,80.3401709,22.0,11.0
331,12.92041353,80.34017142,22.0,11.0
332,12.92041478,80.34017194,22.0,11.0
333,12.92041603,80.34017245,22.0,11.0
334,12.92041728,80.34017297,22.0,11.0
335,12.92041853,80.34017349,22.0,11.0
336,12.92041978,80.34017401,22.0,11.0
337,12.92042103,80.34017453,22.0,11.0
338,12.92042228,80.34017504,22.0,11.0
339,12.92042353,80.34017556,22.0,11.0
340,12.92042478,80.34017608,22.0,11.0
341,12.92042603,80.3401766,22.0,11.0
342,12.92042728,80.34017712,22.0,11.0
343,12.92042853,80.34017763,22.0,11.0
344,12.92042978,80.34017815,22.0,11.0
345,12.92043103,80.34017867,22.0,11.0
346,12.92043227,80.34017919,22.0,11.0
347,12.92043352,80.3401797,22.0,11.0
348,12.92043477,80.34018022,22.0,11.0
349,12.92043602,80.34018074,22.0,11.0
350,12.92043727,80.34018126,22.0,11.0
351,12.92043852,80.34018178,22.0,11.0
352,12.92043977,80.34018229,22.0,11.0
353,12.92044102,80.34018281,22.0,11.0
354,12.92044227,80.34018333,22.0,11.0
355,12.92044352,80.34018385,22.0,11.0
356,12.92044477,80.34018437,22.0,11.0
357,12.92044602,80.34018488,22.0,11.0
358,12.92044727,80.3401854,22.0,11.0
359,12.92044852,80.34018592,22.0,11.0
360,12.92044977,80.34018644,22.0,11.0
361,12.92045102,80.34018696,22.0,11.0
362,12.92045226,80.34018747,22.0,11.0
363,12.92045351,80.34018799,22.0,11.0
364,12.92045476,80.34018851,22.0,11.0
365,12.92045601,80.34018903,22.0,11.0
366,12.92045726,80.34018954,22.0,11.0
367,12.92045851,80.34019006,22.0,11.0
368,12.92045976,80.34019058,22.0,11.0
369,12.92046101,80.3401911,22.0,11.0
370,12.92046226,80.34019162,22.0,11.0
371,12.92046351,80.34019213,22.0,11.0
372,12.92046476,80.34019265,22.0,11.0
373,12.92046601,80.34019317,22.0,11.0
374,12.92046726,80.34019369,22.0,11.0
375,12.92046851,80.34019421,22.0,11.0
376,12.92046976,80.34019472,22.0,11.0
377,12.920471,80.34019524,22.0,11.0
378,12.92047225,80.34019576,22.0,11.0
379,12.9204735,80.34019628,22.0,11.0
380,12.92047475,80.34019679,22.0,11.0
381,12.920476,80.34019731,22.0,11.0
382,12.92047725,80.34019783,22.0,11.0
383,12.9204785,80.34019835,22.0,11.0
384,12.92047975,80.34019887,22.0,11.0
385,12.920481,80.34019938,22.0,11.0
386,12.92048225,80.3401999,22.0,11.0
387,12.9204835,80.34020042,22.0,11.0
388,12.92048475,80.34020094,22.0,11.0
389,12.920486,80.34020146,22.0,11.0
390,12.92048725,80.34020197,22.0,11.0
391,12.9204885,80.34020249,22.0,11.0
392,12.92048974,80.34020301,22.0,11.0
393,12.92049099,80.34020353,22.0,11.0
394,12.92049224,80.34020405,22.0,11.0
395,12.92049349,80.34020456,22.0,11.0
396,12.92049474,80.34020508,22.0,11.0
397,12.92049599,80.3402056,22.0,11.0
398,12.92049724,80.34020612,22.0,11.0
399,12.92049849,80.34020663,22.0,11.0
400,12.92049974,80.34020715,22.0,11.0
401,12.92050099,80.34020767,22.0,11.0
402,12.92050224,80.34020819,22.0,11.0
403,12.92050349,80.34020871,22.0,11.0
404,12.92050474,80.34020922,22.0,11.0
405,12.92050599,80.34020974,22.0,11.0
406,12.92050724,80.34021026,22.0,11.0
407,12.92050849,80.34021078,22.0,11.0
408,12.92050973,80.3402113,22.0,11.0
409,12.92051098,80.34021181,22.0,11.0
410,12.92051223,80.34021233,22.0,11.0
411,12.92051348,80.34021285,22.0,11.0
412,12.92051473,80.34021337,22.0,11.0
413,12.92051598,80.34021388,22.0,11.0
414,12.92051723,80.3402144,22.0,11.0
415,12.92051848,80.34021492,22.0,11.0
416,12.92051973,80.34021544,22.0,11.0
417,12.92052098,80.34021596,22.0,11.0
418,12.92052223,80.34021647,22.0,11.0
419,12.92052348,80.34021699,22.0,11.0
420,12.92052473,80.34021751,22.0,11.0
421,12.92052598,80.34021803,22.0,11.0
422,12.92052723,80.34021855,22.0,11.0
423,12.92052847,80.34021906,22.0,11.0
424,12.92052972,80.34021958,22.0,11.0
425,12.92053097,80.3402201,22.0,11.0
426,12.92053222,80.34022062,22.0,11.0
427,12.92053347,80.34022114,22.0,11.0
428,12.92053472,80.34022165,22.0,11.0
429,12.92053597,80.34022217,22.0,11.0
430,12.92053722,80.34022269,22.0,11.0
431,12.92053847,80.34022321,22.0,11.0
432,12.92053972,80.34022372,22.0,11.0
433,12.92054097,80.34022424,22.0,11.0
434,12.92054222,80.34022476,22.0,11.0
435,12.92054347,80.34022528,22.0,11.0
436,12.92054472,80.3402258,22.0,11.0
437,12.92054597,80.34022631,22.0,11.0
438,12.92054722,80.34022683,22.0,11.0
439,12.92054846,80.34022735,22.0,11.0
440,12.92054971,80.34022787,22.0,11.0
441,12.92055096,80.34022839,22.0,11.0
442,12.92055221,80.3402289,22.0,11.0
443,12.92055346,80.34022942,22.0,11.0
444,12.92055471,80.34022994,22.0,11.0
445,12.92055596,80.34023046,22.0,11.0
446,12.92055721,80.34023097,22.0,11.0
447,12.92055846,80.34023149,22.0,11.0
448,12.92055971,80.34023201,22.0,11.0
449,12.92056096,80.34023253,22.0,11.0
450,12.92056221,80.34023305,22.0,11.0
451,12.92056346,80.34023356,22.0,11.0
452,12.92056471,80.34023408,22.0,11.0
453,12.92056596,80.3402346,22.0,11.0
454,12.9205672,80.34023512,22.0,11.0
455,12.92056845,80.34023564,22.0,11.0
456,12.9205697,80.34023615,22.0,11.0
457,12.92057095,80.34023667,22.0,11.0
458,12.9205722,80.34023719,22.0,11.0
459,12.92057345,80.34023771,22.0,11.0
460,12.9205747,80.34023823,22.0,11.0
461,12.92057595,80.34023874,22.0,11.0
462,12.9205772,80.34023926,22.0,11.0
463,12.92057845,80.34023978,22.0,11.0
464,12.9205797,80.3402403,22.0,11.0
465,12.92058095,80.34024081,22.0,11.0
466,12.9205822,80.34024133,22.0,11.0
467,12.92058345,80.34024185,22.0,11.0
468,12.9205847,80.34024237,22.0,11.0
469,12.92058594,80.34024289,22.0,11.0
470,12.92058719,80.3402434,22.0,11.0
471,12.92058844,80.34024392,22.0,11.0
472,12.92058969,80.34024444,22.0,11.0
473,12.92059094,80.34024496,22.0,11.0
474,12.92059219,80.34024548,22.0,11.0
475,12.92059344,80.34024599,22.0,11.0
476,12.92059469,80.34024651,22.0,11.0
477,12.92059594,80.34024703,22.0,11.0
478,12.92059719,80.34024755,22.0,11.0
479,12.92059844,80.34024807,22.0,11.0
480,12.92059969,80.34024858,22.0,11.0
481,12.92060094,80.3402491,22.0,11.0
482,12.92060219,80.34024962,22.0,11.0
483,12.92060344,80.34025014,22.0,11.0
484,12.92060469,80.34025065,22.0,11.0
485,12.92060593,80.34025117,22.0,11.0
486,12.92060718,80.34025169,22.0,11.0
487,12.92060843,80.34025221,22.0,11.0
488,12.92060968,80.34025273,22.0,11.0
489,12.92061093,80.34025324,22.0,11.0
490,12.92061218,80.34025376,22.0,11.0
491,12.92061343,80.34025428,22.0,11.0
492,12.92061468,80.3402548,22.0,11.0
493,12.92061593,80.34025532,22.0,11.0
494,12.92061718,80.34025583,22.0,11.0
495,12.92061843,80.34025635,22.0,11.0
496,12.92061968,80.34025687,22.0,11.0
497,12.92062093,80.34025739,22.0,11.0
498,12.92062218,80.3402579,22.0,11.0
499,12.92062343,80.34025842,22.0,11.0
500,12.92062467,80.34025894,22.0,11.0
501,12.92062592,80.34025946,22.0,11.0
502,12.92062717,80.34025998,22.0,11.0
503,12.92062842,80.34026049,22.0,11.0
504,12.92062967,80.34026101,22.0,11.0
505,12.92063092,80.34026153,22.0,11.0
506,12.92063217,80.34026205,22.0,11.0
507,12.92063342,80.34026257,22.0,11.0
508,12.92063467,80.34026308,22.0,11.0
509,12.92063592,80.3402636,22.0,11.0
510,12.92063717,80.34026412,22.0,11.0
511,12.92063842,80.34026464,22.0,11.0
512,12.92063967,80.34026516,22.0,11.0
513,12.92064092,80.34026567,22.0,11.0
514,12.92064217,80.34026619,22.0,11.0
515,12.92064341,80.34026671,22.0,11.0
516,12.92064466,80.34026723,22.0,11.0
517,12.92064591,80.34026774,22.0,11.0
518,12.92064716,80.34026826,22.0,11.0
519,12.92064841,80.34026878,22.0,11.0
520,12.92064966,80.3402693,22.0,11.0
521,12.92065091,80.34026982,22.0,11.0
522,12.92065216,80.34027033,22.0,11.0
523,12.92065341,80.34027085,22.0,11.0
524,12.92065466,80.34027137,22.0,11.0
525,12.92065591,80.34027189,22.0,11.0
526,12.92065716,80.34027241,22.0,11.0
527,12.92065841,80.34027292,22.0,11.0
528,12.92065966,80.34027344,22.0,11.0
529,12.92066091,80.34027396,22.0,11.0
530,12.92066216,80.34027448,22.0,11.0
531,12.9206634,80.34027499,22.0,11.0
532,12.92066465,80.34027551,22.0,11.0
533,12.9206659,80.34027603,22.0,11.0
534,12.92066715,80.34027655,22.0,11.0
535,12.9206684,80.34027707,22.0,11.0
536,12.92066965,80.34027758,22.0,11.0
537,12.9206709,80.3402781,22.0,11.0
538,12.92067215,80.34027862,22.0,11.0
539,12.9206734,80.34027914,22.0,11.0
540,12.92067465,80.34027966,22.0,11.0
541,12.9206759,80.34028017,22.0,11.0
542,12.92067715,80.34028069,22.0,11.0
543,12.9206784,80.34028121,22.0,11.0
544,12.92067965,80.34028173,22.0,11.0
545,12.9206809,80.34028225,22.0,11.0
546,12.92068214,80.34028276,22.0,11.0
547,12.92068339,80.34028328,22.0,11.0
548,12.92068464,80.3402838,22.0,11.0
549,12.92068589,80.34028432,22.0,11.0
550,12.92068714,80.34028483,22.0,11.0
551,12.92068839,80.34028535,22.0,11.0
552,12.92068964,80.34028587,22.0,11.0
553,12.92069089,80.34028639,22.0,11.0
554,12.92069214,80.34028691,22.0,11.0
555,12.92069339,80.34028742,22.0,11.0
556,12.92069464,80.34028794,22.0,11.0
557,12.92069589,80.34028846,22.0,11.0
558,12.92069714,80.34028898,22.0,11.0
559,12.92069839,80.3402895,22.0,11.0
560,12.92069964,80.34029001,22.0,11.0
561,12.92070089,80.34029053,22.0,11.0
562,12.92070213,80.34029105,22.0,11.0
563,12.92070338,80.34029157,22.0,11.0
564,12.92070463,80.34029208,22.0,11.0
565,12.92070588,80.3402926,22.0,11.0
566,12.92070713,80.34029312,22.0,11.0
567,12.92070838,80.34029364,22.0,11.0
568,12.92070963,80.34029416,22.0,11.0
569,12.92071088,80.34029467,22.0,11.0
570,12.92071213,80.34029519,22.0,11.0
571,12.92071338,80.34029571,22.0,11.0
572,12.92071463,80.34029623,22.0,11.0
573,12.92071588,80.34029675,22.0,11.0
574,12.92071713,80.34029726,22.0,11.0
575,12.92071838,80.34029778,22.0,11.0
576,12.92071963,80.3402983,22.0,11.0
577,12.92072087,80.34029882,22.0,11.0
578,12.92072212,80.34029934,22.0,11.0
579,12.92072337,80.34029985,22.0,11.0
580,12.92072462,80.34030037,22.0,11.0
581,12.92072587,80.34030089,22.0,11.0
582,12.92072712,80.34030141,22.0,11.0
583,12.92072837,80.34030192,22.0,11.0
584,12.92072962,80.34030244,22.0,11.0
585,12.92073087,80.34030296,22.0,11.0
586,12.92073212,80.34030348,22.0,11.0
587,12.92073337,80.340304,22.0,11.0
588,12.92073462,80.34030451,22.0,11.0
589,12.92073587,80.34030503,22.0,11.0
590,12.92073712,80.34030555,22.0,11.0
591,12.92073837,80.34030607,22.0,11.0
592,12.92073961,80.34030659,22.0,11.0
593,12.92074086,80.3403071,22.0,11.0
594,12.92074211,80.34030762,22.0,11.0
595,12.92074336,80.34030814,22.0,11.0
596,12.92074461,80.34030866,22.0,11.0
597,12.92074586,80.34030917,22.0,11.0
598,12.92074711,80.34030969,22.0,11.0
599,12.92074836,80.34031021,22.0,11.0
600,12.92074961,80.34031073,22.0,11.0
601,12.92075086,80.34031125,22.0,11.0
602,12.92075211,80.34031176,22.0,11.0
603,12.92075336,80.34031228,22.0,11.0
604,12.92075461,80.3403128,22.0,11.0
605,12.92075586,80.34031332,22.0,11.0
606,12.92075711,80.34031384,22.0,11.0
607,12.92075836,80.34031435,22.0,11.0
608,12.9207596,80.34031487,22.0,11.0
609,12.92076085,80.34031539,22.0,11.0
610,12.9207621,80.34031591,22.0,11.0
611,12.92076335,80.34031643,22.0,11.0
612,12.9207646,80.34031694,22.0,11.0
613,12.92076585,80.34031746,22.0,11.0
614,12.9207671,80.34031798,22.0,11.0
615,12.92076835,80.3403185,22.0,11.0
616,12.9207696,80.34031901,22.0,11.0
617,12.92077085,80.34031953,22.0,11.0
618,12.9207721,80.34032005,22.0,11.0
619,12.92077335,80.34032057,22.0,11.0
620,12.9207746,80.34032109,22.0,11.0
621,12.92077585,80.3403216,22.0,11.0
622,12.9207771,80.34032212,22.0,11.0
623,12.92077834,80.34032264,22.0,11.0
624,12.92077959,80.34032316,22.0,11.0
625,12.92078084,80.34032368,22.0,11.0
